world_rank,university_name,country,teaching,international,research,citations,income,total_score
301-350,Tulane University,United States of America,40.7,29.7,20.7,53.9,-,-
301-350,University of Bath,United Kingdom,29.2,76.1,25.1,47.5,36.7,-
301-350,University of Canterbury,New Zealand,21.1,88.2,23.4,53.8,49.5,-
301-350,University of Cologne,Germany,25.6,52.1,18.4,65.3,28.8,-
301-350,University of Connecticut,United States of America,37.6,38.8,27.1,45.4,31.1,-
301-350,University of Crete,Greece,19,47,16.8,67,36,-
301-350,University of Duisburg-Essen,Germany,21.9,49.2,13.7,64.1,44.2,-
301-350,University of Essex,United Kingdom,31.6,86.7,29,39.3,29.1,-
301-350,University of Houston,United States of America,39.3,33.1,25.8,44.2,43.2,-
301-350,University of Jyv퀌_skyl퀌_,Finland,27.6,47.2,24,50.2,-,-
301-350,University of Kansas,United States of America,30.6,32.2,20.1,62.2,36.2,-
301-350,University of Manitoba,Canada,31.6,43.4,29.4,48.2,43.5,-
301-350,University of Marrakech Cadi Ayyad,Morocco,16.3,45.1,6.5,83,28.6,-
301-350,University of Montana,United States of America,29.1,20.7,13.7,75,34.4,-
301-350,University of Nebraska Medical Center,United States of America,36.4,34.8,16.5,51.5,34.5,-
301-350,University of Oklahoma,United States of America,32.6,30,15.7,57.5,34.5,-
301-350,University of Padua,Italy,20.7,40.4,18.2,68,32.9,-
301-350,University of Pisa,Italy,22.4,36.7,18.8,69.2,37.7,-
301-350,University of Southern Denmark,Denmark,19.5,67.1,20.5,61.2,72.6,-
301-350,University of Stirling,United Kingdom,21.5,66.9,25.1,49.9,30.7,-
301-350,University of Stuttgart,Germany,30.6,59.3,17.3,56.9,48.2,-
301-350,University of Tampere,Finland,22.9,45.6,22.2,58.7,42.5,-
301-350,University of Tsukuba,Japan,33.4,36.1,21.6,51.1,36.9,-
301-350,University of Valencia,Spain,17.9,43.7,12,72.7,30.8,-
301-350,University of Warsaw,Poland,20.8,41.6,13.6,70,28.5,-
301-350,Wayne State University,United States of America,32,30.7,15.2,61,-,-
301-350,Zhejiang University,China,36,21.5,33.1,40.2,88.6,-
